datetime,open,high,low,close,volume
2023-12-19 10:15:00+05:30,71121.06,71296.63,71120.39,71280.5,0
2023-12-19 11:15:00+05:30,71282.42,71476.79,71226.15,71405.02,0
2023-12-19 12:15:00+05:30,71410.65,71533.02,71394.35,71501.39,0
2023-12-19 13:15:00+05:30,71502.01,71572.55,71446.9,71552.61,0
2023-12-19 14:15:00+05:30,71552.56,71623.27,71363.06,71443.67,0
2023-12-19 15:15:00+05:30,71442.03,71478.28,71389.18,71399.01,0
2023-12-20 09:15:00+05:30,71647.66,71911.72,71647.66,71772.44,0
2023-12-20 10:15:00+05:30,71772.62,71837.87,71727.34,71779.89,0
2023-12-20 11:15:00+05:30,71779.69,71785.74,71521.6,71635.12,0
2023-12-20 12:15:00+05:30,71636.31,71676.5,71483.4,71500.6,0
2023-12-20 13:15:00+05:30,71502.92,71502.92,70825.13,70912.17,0
2023-12-20 14:15:00+05:30,70914.76,71044.07,70490.09,70494.53,0
2023-12-20 15:15:00+05:30,70495.16,70512.12,70305.45,70359.62,0
2023-12-21 09:15:00+05:30,69920.89,70442.06,69920.39,70392.2,0
2023-12-21 10:15:00+05:30,70392.63,70614.01,70215.85,70524.82,0
2023-12-21 11:15:00+05:30,70524.97,70643.27,70416.59,70581.69,0
2023-12-21 12:15:00+05:30,70580.99,70860.4,70558.47,70825.81,0
2023-12-21 13:15:00+05:30,70822.82,70884.19,70612.79,70734.86,0
2023-12-21 14:15:00+05:30,70734.35,70920.93,70717.23,70886.21,0
2023-12-21 15:15:00+05:30,70884.08,70958.23,70851.57,70951.12,0
2023-12-22 09:15:00+05:30,71045.65,71153.74,70759.49,71143.05,0
2023-12-22 10:15:00+05:30,71143.76,71259.55,71044.52,71179.01,0
2023-12-22 11:15:00+05:30,71179.4,71239.5,71138.57,71157.33,0
2023-12-22 12:15:00+05:30,71165.89,71193.88,70933.28,71063.72,0
2023-12-22 13:15:00+05:30,71061.39,71161.67,70715.28,70984.51,0
2023-12-22 14:15:00+05:30,70984.61,71225.67,70943.78,71116.07,0
2023-12-22 15:15:00+05:30,71114.23,71163.8,71027.53,71045.58,0
2023-12-26 09:15:00+05:30,71097.78,71288.75,71012.08,71246.21,0
2023-12-26 10:15:00+05:30,71239.54,71469.45,71239.36,71399.94,0
2023-12-26 11:15:00+05:30,71399.52,71441.62,71343.9,71415.12,0
2023-12-26 12:15:00+05:30,71414.17,71466.39,71256.71,71342.6,0
2023-12-26 13:15:00+05:30,71341.39,71386.48,71289.51,71311.21,0
2023-12-26 14:15:00+05:30,71310.41,71424.2,71264.25,71319.84,0
2023-12-26 15:15:00+05:30,71321.34,71396.43,71315.89,71386.64,0
2023-12-27 09:15:00+05:30,71492.02,71757.78,71473.65,71724.95,0
2023-12-27 10:15:00+05:30,71732.78,71813.11,71711.12,71788.05,0
2023-12-27 11:15:00+05:30,71782.38,71871.57,71763.53,71806.63,0
2023-12-27 12:15:00+05:30,71805.92,71809.49,71603.63,71634.26,0
2023-12-27 13:15:00+05:30,71634.8,71723.5,71553.76,71711.41,0
2023-12-27 14:15:00+05:30,71711.98,72107.28,71679.76,72079.62,0
2023-12-27 15:15:00+05:30,72079.69,72119.85,72011.31,72011.31,0
2023-12-28 09:15:00+05:30,72262.67,72406.68,72139.77,72198.79,0
2023-12-28 10:15:00+05:30,72200.17,72340.8,72145.81,72309.71,0
2023-12-28 11:15:00+05:30,72309.77,72343.11,72260.69,72283.97,0
2023-12-28 12:15:00+05:30,72279.85,72435.62,72279.25,72401.29,0
2023-12-28 13:15:00+05:30,72403.3,72418.29,72301.8,72330.83,0
2023-12-28 14:15:00+05:30,72330.23,72423.54,72269.53,72402.83,0
2023-12-28 15:15:00+05:30,72403.89,72484.21,72357.06,72376.8,0
2023-12-29 09:15:00+05:30,72351.59,72417.01,72109.74,72113.96,0
2023-12-29 10:15:00+05:30,72115.9,72240.09,72092.55,72205.68,0
2023-12-29 11:15:00+05:30,72200.42,72325.96,72192.34,72277.32,0
2023-12-29 12:15:00+05:30,72274.72,72330.57,72186.17,72252.99,0
2023-12-29 13:15:00+05:30,72255.08,72313.47,72124.64,72126.69,0
2023-12-29 14:15:00+05:30,72125.99,72350.01,72084.69,72159.15,0
2023-12-29 15:15:00+05:30,72163.61,72270.28,72152.06,72206.35,0
2024-01-01 09:15:00+05:30,72218.39,72222.72,72033.93,72115.59,0
2024-01-01 10:15:00+05:30,72115.51,72223.0,72059.58,72220.08,0
2024-01-01 11:15:00+05:30,72220.68,72244.18,72131.5,72212.39,0
2024-01-01 12:15:00+05:30,72213.88,72252.09,72116.19,72200.81,0
2024-01-01 13:15:00+05:30,72201.07,72401.56,72201.07,72397.26,0
2024-01-01 14:15:00+05:30,72392.61,72559.42,72167.88,72197.14,0
2024-01-01 15:15:00+05:30,72197.87,72232.49,72033.79,72078.53,0
2024-01-02 09:15:00+05:30,72332.85,72332.85,71843.62,71944.14,0
2024-01-02 10:15:00+05:30,71941.97,71965.28,71615.87,71698.8,0
2024-01-02 11:15:00+05:30,71698.09,71769.19,71642.17,71729.59,0
2024-01-02 12:15:00+05:30,71731.52,71857.77,71701.8,71733.99,0
2024-01-02 13:15:00+05:30,71734.26,71898.08,71723.54,71882.98,0
2024-01-02 14:15:00+05:30,71882.49,71986.22,71787.25,71896.11,0
2024-01-02 15:15:00+05:30,71888.28,71930.24,71861.72,71874.62,0
2024-01-03 09:15:00+05:30,71832.62,71862.0,71495.4,71560.71,0
2024-01-03 10:15:00+05:30,71561.0,71586.45,71442.86,71568.44,0
2024-01-03 11:15:00+05:30,71562.14,71648.77,71513.44,71554.78,0
2024-01-03 12:15:00+05:30,71551.57,71578.37,71396.55,71569.59,0
2024-01-03 13:15:00+05:30,71574.46,71610.54,71523.43,71551.74,0
2024-01-03 14:15:00+05:30,71550.22,71556.09,71324.76,71364.19,0
2024-01-03 15:15:00+05:30,71363.15,71395.54,71303.97,71385.67,0
2024-01-04 09:15:00+05:30,71678.93,71771.53,71546.6,71765.07,0
2024-01-04 10:15:00+05:30,71768.83,71848.25,71742.13,71838.33,0
2024-01-04 11:15:00+05:30,71837.39,71862.41,71790.73,71804.74,0
2024-01-04 12:15:00+05:30,71804.47,71913.06,71801.55,71903.91,0
2024-01-04 13:15:00+05:30,71904.2,71907.99,71800.83,71834.82,0
2024-01-04 14:15:00+05:30,71834.99,71877.59,71787.32,71832.79,0
2024-01-04 15:15:00+05:30,71845.97,71953.02,71832.52,71908.8,0
2024-01-05 09:15:00+05:30,72016.71,72156.48,71996.98,72065.92,0
2024-01-05 10:15:00+05:30,72066.13,72112.47,71893.25,71955.69,0
2024-01-05 11:15:00+05:30,71959.76,71978.07,71858.7,71925.7,0
2024-01-05 12:15:00+05:30,71926.66,71984.86,71844.01,71947.72,0
2024-01-05 13:15:00+05:30,71947.44,71964.69,71800.11,71818.57,0
2024-01-05 14:15:00+05:30,71817.69,72106.46,71780.0,72069.18,0
2024-01-05 15:15:00+05:30,72066.96,72067.71,71905.26,72013.31,0
2024-01-08 09:15:00+05:30,72113.25,72180.75,71813.88,71991.31,0
2024-01-08 10:15:00+05:30,71991.58,72099.73,71682.79,71740.31,0
2024-01-08 11:15:00+05:30,71737.95,71815.84,71521.94,71618.7,0
2024-01-08 12:15:00+05:30,71619.73,71701.98,71556.23,71571.15,0
2024-01-08 13:15:00+05:30,71572.63,71657.72,71504.33,71612.53,0
2024-01-08 14:15:00+05:30,71612.16,71632.53,71308.32,71357.69,0
2024-01-08 15:15:00+05:30,71362.44,71394.15,71302.09,71363.42,0
2024-01-09 09:15:00+05:30,71770.91,71871.82,71622.47,71811.76,0
2024-01-09 10:15:00+05:30,71813.54,72007.03,71792.39,71952.29,0
2024-01-09 11:15:00+05:30,71951.18,72004.36,71885.76,71946.82,0
2024-01-09 12:15:00+05:30,71944.07,72034.86,71937.73,71988.87,0
2024-01-09 13:15:00+05:30,71990.22,72011.2,71772.48,71797.6,0
2024-01-09 14:15:00+05:30,71797.18,71810.92,71364.91,71401.69,0
2024-01-09 15:15:00+05:30,71395.03,71455.2,71307.27,71399.93,0
2024-01-10 09:15:00+05:30,71383.2,71452.95,71113.74,71390.49,0
2024-01-10 10:15:00+05:30,71390.15,71498.28,71299.1,71401.37,0
2024-01-10 11:15:00+05:30,71404.46,71474.26,71301.7,71352.04,0
2024-01-10 12:15:00+05:30,71352.08,71384.94,71166.35,71304.37,0
2024-01-10 13:15:00+05:30,71303.67,71407.43,71212.96,71381.9,0
2024-01-10 14:15:00+05:30,71387.61,71733.43,71317.68,71630.78,0
2024-01-10 15:15:00+05:30,71630.8,71700.46,71630.72,71668.05,0
2024-01-11 09:15:00+05:30,71907.75,71998.9,71776.48,71822.99,0
