date,Long-Only D9_ret,Long-Only D9_n,LS-D10/D10_ret,LS-D10/D10_n,LS-D9/B9_ret,LS-D9/B9_n,Directional Long_ret,Directional Long_n,Directional Short_ret,Directional Short_n,Threshold Long_ret,Threshold Long_n,Threshold Short_ret,Threshold Short_n,Market Timing_ret,Market Timing_n,Combined LS_ret,Combined LS_n
2025-04-21 00:00:00+05:30,1.416879482891531,8,1.516996841457832,16,1.5144172624841037,18.0,1.230557128356494,72,1.1820890108162738,12,1.305274280353668,7,1.1820890108162738,12,0.8858933941889559,84,1.516996841457832,16
2025-04-22 00:00:00+05:30,-0.5194801067578151,8,0.2215827194890232,16,0.3193833269317893,18.0,-0.0183980341570468,68,0.9144767139175614,16,-0.4145920547843462,5,1.3208305958660411,13,0.1890796874447639,84,0.2215827194890232,16
2025-04-23 00:00:00+05:30,-1.767180967687655,8,0.5271780240617594,16,0.6796138940064181,18.0,-2.681254947527428,53,2.735568693235993,31,-1.6234676644421464,3,2.614875205478474,15,2.701299306062732,84,0.5271780240617594,16
2025-04-24 00:00:00+05:30,2.7152678224670463,8,0.6901712684740922,16,0.5460470421726026,18.0,2.282567525880361,33,-1.557861343396785,52,2.776323731729208,23,-1.2468894434440991,6,1.8392178613021728,85,0.6901712684740922,16
2025-04-27 00:00:00+05:30,1.67313460685929,8,1.248818675058983,16,1.0677000004205637,18.0,-0.0638118798128339,79,0.8811985804558686,5,0.0934392012701551,28,2.9227557411273475,1,-0.1124658500892051,84,1.248818675058983,16
2025-04-28 00:00:00+05:30,-1.4138469957299171,8,0.5478726442542221,16,0.546595473074985,18.0,-0.798383276131286,44,1.3533527670886407,41,-1.6317264630674428,4,2.5095922842383613,8,1.066074442357775,85,0.5478726442542221,16
2025-04-29 00:00:00+05:30,1.7276378511420942,8,0.965350832321562,16,0.6819285427337229,18.0,-0.075112240911745,67,0.5308390235794214,17,0.9948116181101224,12,0.8154477816728317,4,-0.1673426612135366,84,0.965350832321562,16
2025-05-01 00:00:00+05:30,1.46839758677306,8,0.2651207170038875,16,0.281563164125282,18.0,1.4573738665937792,28,-1.825483295597191,56,1.2347738865727016,4,-1.1278592539221255,3,-1.7027801525960535,84,0.2651207170038875,16
2025-05-04 00:00:00+05:30,-1.1408292499957369,8,1.381663005632619,16,1.1311198430512723,18.0,-2.0292108723429894,13,2.740148342879879,71,-1.5996108951535637,2,4.248665759813185,6,2.6301223057729795,84,1.381663005632619,16
2025-05-05 00:00:00+05:30,3.659103894541541,8,1.7791354518915532,16,1.578398974840551,18.0,1.4668503773740729,55,-0.6191188809712584,29,4.540129486748612,6,0.1619333554938595,5,1.174181170282625,84,1.7791354518915532,16
2025-05-06 00:00:00+05:30,-0.3931381571901163,8,1.1354505030629083,16,1.0696860844253484,18.0,-2.478271740756348,67,2.384793001753862,17,-0.9755855498611796,14,2.8966126768230662,3,-2.459353424529654,84,1.1354505030629083,16
2025-05-07 00:00:00+05:30,1.6344968909875996,8,0.9120405395252968,16,0.9224741291622937,18.0,0.5537827175146773,78,0.1382824384251339,6,2.100972786661385,3,0.7790189123801028,4,0.504349492090405,84,0.9120405395252968,16
2025-05-08 00:00:00+05:30,6.883637033905311,8,1.7166984279107078,16,1.6597511685407742,18.0,3.722851288061938,80,-2.3472866877310623,4,4.006770148335541,55,0.0,0,3.657348211855706,84,1.7166984279107078,16
2025-05-11 00:00:00+05:30,0.8115801341853413,8,-0.0335372260634403,16,0.0996746453743517,18.0,0.2338844561928244,82,0.1477999199816115,2,0.9688106610784954,10,0.0,0,0.224796732950576,84,-0.0335372260634403,16
